YEAR,MONTH,TYPE,NEIGHBOURHOOD,LAT,LON
2018,1,Assault,South Cambie,NULL,NULL
2018,1,Assault,South Cambie,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Strathcona,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Sunset,NULL,NULL
2018,1,Assault,Victoria-Fraserview,NULL,NULL
2018,1,Assault,Victoria-Fraserview,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West End,NULL,NULL
2018,1,Assault,West Point Grey,NULL,NULL
2018,1,Assault,West Point Grey,NULL,NULL
2018,1,Assault,West Point Grey,NULL,NULL
2018,1,Assault,West Point Grey,NULL,NULL
2018,1,B&E-C,Arbutus Ridge,49.24802531773989,-123.15333591924333
2018,1,B&E-C,Central Business District,49.27338790056095,-123.12058617403356
2018,1,B&E-C,Central Business District,49.27380795518835,-123.12731793783726
2018,1,B&E-C,Central Business District,49.27545088297874,-123.13281070906558
2018,1,B&E-C,Central Business District,49.276183003847244,-123.1100655462905
2018,1,B&E-C,Central Business District,49.276258839243425,-123.13348951365732
2018,1,B&E-C,Central Business District,49.276285300327494,-123.1098693472969
2018,1,B&E-C,Central Business District,49.27668111241979,-123.13067353655073
2018,1,B&E-C,Central Business District,49.27679989489728,-123.13049034231013
2018,1,B&E-C,Central Business District,49.27699865315006,-123.12451862994534
2018,1,B&E-C,Central Business District,49.27720625453004,-123.12021759945254
2018,1,B&E-C,Central Business District,49.27788836102527,-123.11726879184756
2018,1,B&E-C,Central Business District,49.2780164435086,-123.11535368915699
2018,1,B&E-C,Central Business District,49.278349968605816,-123.12061660911316
2018,1,B&E-C,Central Business District,49.27870823989441,-123.10867050479706
2018,1,B&E-C,Central Business District,49.27898530092808,-123.1128083293219
2018,1,B&E-C,Central Business District,49.27929308581208,-123.12691829511525
2018,1,B&E-C,Central Business District,49.27949905721531,-123.10136981776124
2018,1,B&E-C,Central Business District,49.27952384495785,-123.10676646474009
2018,1,B&E-C,Central Business District,49.279557953747364,-123.10697075032046
2018,1,B&E-C,Central Business District,49.279662957062904,-123.10759965425704
2018,1,B&E-C,Central Business District,49.2804607628882,-123.10126987766928
2018,1,B&E-C,Central Business District,49.2804607628882,-123.10126987766928
2018,1,B&E-C,Central Business District,49.280508908376696,-123.10330257095181
2018,1,B&E-C,Central Business District,49.280776590025944,-123.1057306595948
2018,1,B&E-C,Central Business District,49.28138045498093,-123.10327927096205
2018,1,B&E-C,Central Business District,49.281516570971796,-123.10432261074807
2018,1,B&E-C,Central Business District,49.281695589883576,-123.10529594373212
2018,1,B&E-C,Central Business District,49.28239839823941,-123.1161892910537
2018,1,B&E-C,Central Business District,49.282789825884294,-123.10587606580583
2018,1,B&E-C,Central Business District,49.2828860508332,-123.11515794390877
2018,1,B&E-C,Central Business District,49.28318095680206,-123.11501070197274
2018,1,B&E-C,Central Business District,49.2833075526067,-123.10429302562726
2018,1,B&E-C,Central Business District,49.28380616761416,-123.11603705597899
2018,1,B&E-C,Central Business District,49.28395540305937,-123.12030992399366
2018,1,B&E-C,Central Business District,49.28441482356251,-123.11238282767351
2018,1,B&E-C,Central Business District,49.28515128038337,-123.11993481963303
2018,1,B&E-C,Central Business District,49.28515128038337,-123.11993481963303
2018,1,B&E-C,Central Business District,49.28519171607765,-123.11374973431286
2018,1,B&E-C,Central Business District,49.28519171607765,-123.11374973431286
2018,1,B&E-C,Central Business District,49.285258118981524,-123.1159045008843
2018,1,B&E-C,Central Business District,49.28528635023189,-123.1199164903552
2018,1,B&E-C,Central Business District,49.28601686914596,-123.12047485512588
2018,1,B&E-C,Central Business District,49.28650304401995,-123.11806314452642
2018,1,B&E-C,Central Business District,49.28754742365542,-123.12077627747031
2018,1,B&E-C,Central Business District,49.28773166997199,-123.12139856943749
2018,1,B&E-C,Central Business District,49.28800759659224,-123.12202559038279
2018,1,B&E-C,Central Business District,49.288369336954034,-123.12346803694115
2018,1,B&E-C,Central Business District,49.28846428450438,-123.12729405197022
2018,1,B&E-C,Central Business District,49.28857525087147,-123.12213305851847
2018,1,B&E-C,Central Business District,49.28880737272109,-123.12264456947956
2018,1,B&E-C,Central Business District,49.288876415589066,-123.12287952260013
2018,1,B&E-C,Central Business District,49.29156369334307,-123.12916705763703
2018,1,B&E-C,Fairview,49.25999541688871,-123.13866061961637
2018,1,B&E-C,Fairview,49.26029961733177,-123.1387764723296
2018,1,B&E-C,Fairview,49.260692361819224,-123.1348151576066
2018,1,B&E-C,Fairview,49.26093697594506,-123.11987067462195
2018,1,B&E-C,Fairview,49.26174645666883,-123.13836243913605
2018,1,B&E-C,Fairview,49.26334603700026,-123.12076367108428
2018,1,B&E-C,Fairview,49.26343697508587,-123.12593526215608
2018,1,B&E-C,Fairview,49.26357460827758,-123.13453307086345
2018,1,B&E-C,Fairview,49.263615983926485,-123.13732959221132
2018,1,B&E-C,Fairview,49.26502860497316,-123.12043585703871
2018,1,B&E-C,Fairview,49.265327400604114,-123.14014741707547
2018,1,B&E-C,Fairview,49.26614066153798,-123.13840720456838
2018,1,B&E-C,Fairview,49.26919915242445,-123.13795956027188
2018,1,B&E-C,Fairview,49.26971378981626,-123.11532431067918
2018,1,B&E-C,Grandview-Woodland,49.26426552500779,-123.0696932852539
2018,1,B&E-C,Grandview-Woodland,49.26501738941852,-123.06980444170328
2018,1,B&E-C,Grandview-Woodland,49.26878683541321,-123.0764306298972
2018,1,B&E-C,Grandview-Woodland,49.27286885694718,-123.0696500639137
2018,1,B&E-C,Grandview-Woodland,49.2755622742211,-123.06947258827908
2018,1,B&E-C,Grandview-Woodland,49.27642157536964,-123.06568898851981
2018,1,B&E-C,Grandview-Woodland,49.276663962655554,-123.07430805110612
2018,1,B&E-C,Grandview-Woodland,49.279286411376745,-123.06658950843754
2018,1,B&E-C,Grandview-Woodland,49.281130273219006,-123.05830287930696
2018,1,B&E-C,Grandview-Woodland,49.28119309149983,-123.06768867850575
2018,1,B&E-C,Grandview-Woodland,49.283000392208734,-123.0655275594185
2018,1,B&E-C,Grandview-Woodland,49.28330055900836,-123.07393938240224
2018,1,B&E-C,Grandview-Woodland,49.28377424749444,-123.07041113819052
2018,1,B&E-C,Grandview-Woodland,49.28377424749444,-123.07041113819052
2018,1,B&E-C,Grandview-Woodland,49.290311784582656,-123.05759005834605
2018,1,B&E-C,Hastings-Sunrise,49.269617280712026,-123.044514702437
2018,1,B&E-C,Hastings-Sunrise,49.284885935267745,-123.03933768431105
2018,1,B&E-C,Kensington-Cedar Cottage,49.234453110063164,-123.0656597787529
2018,1,B&E-C,Kensington-Cedar Cottage,49.23986599210472,-123.09031857823223
2018,1,B&E-C,Kensington-Cedar Cottage,49.243158442626985,-123.06103437156507
2018,1,B&E-C,Kensington-Cedar Cottage,49.24673186110481,-123.06843229822273
2018,1,B&E-C,Kensington-Cedar Cottage,49.25274498705055,-123.06810240692478
2018,1,B&E-C,Kerrisdale,49.22638049649218,-123.16374264050245
2018,1,B&E-C,Kerrisdale,49.22638049649218,-123.16374264050245
2018,1,B&E-C,Kerrisdale,49.229844742896546,-123.15606269902895
2018,1,B&E-C,Kerrisdale,49.22987720163541,-123.1551750951251
2018,1,B&E-C,Killarney,49.20621627291472,-123.03702753820856
2018,1,B&E-C,Killarney,49.20679963094495,-123.04414031305481
2018,1,B&E-C,Killarney,49.20683181139681,-123.04283638139408
2018,1,B&E-C,Kitsilano,49.26376474920866,-123.15199523244905
